Q3-58,13184,CHAMPION LINCOLN,BROCKTON,MA,7:00 AM,7:00 AM,02301
Q3-59,07252,CROSSROADS FORD,RAVENA,NY,8:00 AM,8:00 AM,12143
Q3-60,01093,EMPIRE FORD,NEW BEDFORD,MA,8:00 AM,8:00 AM,02746
Q3-61,00639,COLONIAL FORD,MARLBOROUGH,MA,7:00 AM,7:00 AM,01752
Q3-62,08952,IPSWICK FORD INC,IPSWICH,MA,8:00 AM,8:00 AM,01938
Q3-63,09107,MITCHELL SELIG FORD,WINDSOR,CT,7:00 AM,7:00 AM,06095
Q3-64,00618,BROWNS FD JOHNSTOWN,JOHNSTOWN,NY,7:00 AM,7:00 AM,12095
Q3-65,02728,BROWN'S FORD,AMSTERDAM,NY,7:00 AM,7:00 AM,12010
Q3-66,03005,FUCCILLO AUTOPLEX,NELLISTON,NY,7:00 AM,7:00 AM,13410
Q3-67,08852,VACHON FORD INC,BROOKLYN,CT,7:00 AM,7:00 AM,06234
Q3-68,06754,"CHATHAM FORD, INC",CHATHAM,MA,8:00 AM,8:00 AM,02633
Q3-69,00520,BAILEY MTR CO LTD,MALONE,NY,9:00 AM,9:00 AM,12953
QA-1,00719,KOERNER FD/SYRACUSE,SYRACUSE,NY,7:00 AM,7:00 AM,13204
QA-2,01095,DON'S FORD,UTICA,NY,5:00 AM,5:00 AM,13502
QA-3,00671,NYE FORD,ONEIDA,NY,5:00 AM,5:00 AM,13421
QA-4,09559,DAVIDSON FORD,WATERTOWN,NY,7:30 AM,7:30 AM,13601
QA-5,05767,DAVIDSON FORD,LIVERPOOL,NY,7:30 AM,7:30 AM,13090
QA-6,08676,STEET PONTE FORD,YORKVILLE,NY,8:00 AM,8:00 AM,13495
QA-7,00037,YANKEE FORD,S PORTLAND,ME,7:00 AM,7:00 AM,04106
QA-8,09589,QUIRK FORD AUGUSTA,HALLOWELL,ME,5:00 AM,5:00 AM,04347
QA-9,09143,ROWE FORD LINCOLN,WESTBROOK,ME,7:00 AM,7:00 AM,04092
QA-10,07251,RAY HASKELL FORD/LI,OAKLAND,ME,7:00 AM,7:00 AM,04963
QA-11,09044,DARLINGS BANGOR FORD,BANGOR,ME,7:00 AM,7:00 AM,04401
QA-12,08807,ROWE FORD AUBURN,AUBURN,ME,8:00 AM,8:00 AM,04210
QA-13,08864,FORMULA FORD INC,MONTPELIER,VT,7:30 AM,7:30 AM,05601
QA-14,09176,HERITAGE FORD,S BURLINGTON,VT,6:30 AM,6:30 AM,05403
QA-15,08367,FORD OF GREENFIELD,GREENFIELD,MA,7:00 AM,7:00 AM,01301
QA-16,07860,FORD OF NORTHAMPTON,NORTHAMPTON,MA,7:00 AM,7:00 AM,01060
QA-17,08862,PORTSMOUTH FORD,PORTSMOUTH,NH,7:30 AM,7:30 AM,03801
QB-1,09082,PLACE MOTORS INC,WEBSTER,MA,8:00 AM,8:00 AM,01570
QB-2,04377,IMPERIAL FORD,MENDON,MA,5:00 AM,5:00 AM,01756
QB-3,09131,MUZI MOTORS INC,NEDHAM HTS,MA,7:00 AM,7:00 AM,02494
QB-4,08828,HERB CHAMBERS FORD,BRAINTREE,MA,7:00 AM,7:00 AM,02184
